hidden_units,dropout_rate,num_layers,lr,val_ndcg,val_ndcg_raw,best_epoch,epochs_run,max_epochs,seed
256,0.1,1,0.0001,0.7989862330254685,0.7969725987233685,40,40,40,0
128,0.1,1,0.001,0.7961854515058603,0.7951377760848994,18,20,20,0
256,0.5,2,0.001,0.7955912740132239,0.7937534051359703,19,20,20,0
128,0.3,1,0.001,0.7951971400711676,0.7947093823041748,18,20,20,0
256,0.3,3,0.0001,0.7947886308627631,0.7944839959630634,40,40,40,0
256,0.3,1,0.001,0.7943394627281215,0.7943245910233862,14,19,20,0
128,0.1,2,0.001,0.7943120304360197,0.7946787325046626,14,19,20,0
256,0.3,2,0.001,0.7941800704419607,0.7938296527962558,18,20,20,0
256,0.5,1,0.001,0.7941404146983589,0.7934264801035766,11,16,20,0
256,0.1,1,0.001,0.7932142751878176,0.7940430474574743,11,16,20,0
256,0.3,3,0.001,0.7927615976382324,0.793197668201967,16,20,20,0
64,0.1,1,0.001,0.7925949886984324,0.794295874308411,12,17,20,0
128,0.3,3,0.001,0.7924978601744567,0.7942315534764439,18,20,20,0
64,0.1,2,0.001,0.7923905380363993,0.7955998425231054,17,20,20,0
64,0.1,3,0.001,0.7923391781837181,0.7923670896126258,20,20,20,0
256,0.5,3,0.001,0.7922660566856021,0.7944790556569471,19,20,20,0
64,0.3,1,0.001,0.7921955391112663,0.7947596715222595,19,20,20,0
128,0.3,2,0.001,0.7921511073261126,0.789674933961148,15,20,20,0
256,0.1,3,0.001,0.7920380189458979,0.7910872662923358,12,17,20,0
64,0.5,1,0.001,0.7915735388072674,0.7914886274042123,20,20,20,0
256,0.1,2,0.001,0.7913594653704702,0.7915152112652045,8,13,20,0
128,0.1,3,0.001,0.7911455805164943,0.7940685497142282,6,11,20,0
128,0.5,3,0.001,0.7907606929159954,0.7917888807617846,18,20,20,0
64,0.3,2,0.001,0.7906193233719522,0.7884420027952377,18,20,20,0
128,0.5,2,0.001,0.7904612633986147,0.7920192199641791,19,20,20,0
128,0.5,1,0.0001,0.789690914954028,0.789690914954028,1,6,40,0
256,0.3,1,0.0001,0.7878630650283762,0.7892545077071862,20,25,40,0
128,0.5,1,0.001,0.787061765073981,0.7875960301587637,2,7,20,0
64,0.3,3,0.001,0.7853924531143051,0.7886367201782424,6,11,20,0
64,0.5,2,0.001,0.785196515830453,0.7872118529038226,6,11,20,0
64,0.5,3,0.001,0.7851193167786175,0.7836715811448982,6,11,20,0
128,0.1,1,0.0001,0.7845831097961272,0.7850802677981695,16,21,40,0
128,0.5,2,0.0001,0.7844537096160216,0.7796900008090781,15,20,40,0
256,0.1,3,0.0001,0.7838217919298476,0.7838217919298476,1,6,40,0
128,0.3,2,0.0001,0.7836079318774859,0.7854184953340781,14,19,40,0
128,0.1,2,0.0001,0.7833292443447336,0.784559038334748,14,19,40,0
64,0.5,2,0.0001,0.7829671930291232,0.7816336701712885,15,20,40,0
128,0.1,3,0.0001,0.7826494415786164,0.7834334253452359,13,18,40,0
128,0.3,1,0.0001,0.7825469234711102,0.7825469234711102,1,6,40,0
128,0.3,3,0.0001,0.782525194842135,0.7833302603805814,13,18,40,0
256,0.5,2,0.0001,0.782192745295026,0.7834176743994347,4,9,40,0
256,0.5,3,0.0001,0.7820855654272479,0.7807416665153779,12,17,40,0
64,0.5,1,0.0001,0.7819144079595874,0.7822301630569783,4,9,40,0
256,0.3,2,0.0001,0.781890806437418,0.7837153063960624,4,9,40,0
64,0.1,1,0.0001,0.7818419330762404,0.7808347914881293,20,25,40,0
64,0.1,2,0.0001,0.7814554196532678,0.7838569755757068,6,11,40,0
64,0.3,2,0.0001,0.7810748999958098,0.781665622059159,6,11,40,0
128,0.5,3,0.0001,0.7810300245031181,0.782406545934596,13,18,40,0
256,0.1,2,0.0001,0.780901750293857,0.7830932244168967,4,9,40,0
64,0.5,3,0.0001,0.7796497457023533,0.7795542155848336,21,26,40,0
256,0.5,1,0.0001,0.7795010520936794,0.7830557891362488,4,9,40,0
64,0.1,3,0.0001,0.7794149395538837,0.7802013638968428,6,11,40,0
64,0.3,1,0.0001,0.7791502381340916,0.7803217664864859,4,9,40,0
64,0.3,3,0.0001,0.7768643949988419,0.778724502554662,6,11,40,0
