hidden_units,dropout_rate,num_layers,lr,gamma,val_ndcg,val_ndcg_raw,best_epoch,epochs_run,max_epochs,seed
256,0.1,3,0.001,2,0.7982007880606772,0.7982007880606772,1,6,20,0
64,0.5,3,0.001,2,0.7979519042551381,0.7971925593433763,9,14,20,0
256,0.1,3,0.001,4,0.7974773960812991,0.7974773960812991,1,6,20,0
128,0.5,3,0.001,2,0.7960261394709107,0.8011400513806963,10,15,20,0
64,0.5,3,0.001,3,0.7950933047213947,0.7973817627065006,12,17,20,0
256,0.3,3,0.001,3,0.7946110167458705,0.8041088789475841,16,20,20,0
128,0.1,2,0.001,4,0.7945384162617333,0.7934134914522948,6,11,20,0
256,0.5,3,0.0001,2,0.7941002121089792,0.800949300250256,17,22,40,0
128,0.5,2,0.001,4,0.793903667216886,0.789004033692299,7,12,20,0
64,0.5,2,0.001,3,0.7937272481603771,0.7888455961859778,8,13,20,0
64,0.3,3,0.001,4,0.7935526825242968,0.8004034014655573,10,15,20,0
64,0.1,3,0.001,3,0.7935207347792916,0.7937236686033871,10,15,20,0
256,0.1,3,0.0001,4,0.7922002282968638,0.780015076439677,13,18,40,0
128,0.5,3,0.001,3,0.792002577881776,0.7895824175583608,8,13,20,0
64,0.3,2,0.001,3,0.7918651880059571,0.7902135107460072,5,10,20,0
128,0.3,2,0.001,3,0.7916881020139758,0.7892771440992796,9,14,20,0
256,0.3,3,0.0001,3,0.7915191563788553,0.7927247848044262,17,22,40,0
256,0.3,3,0.0001,2,0.7914715665083,0.7936056206918412,19,24,40,0
64,0.3,3,0.001,2,0.7913882963849552,0.79251029731468,19,20,20,0
256,0.5,3,0.001,3,0.791277050706582,0.7890258873831505,4,9,20,0
128,0.3,2,0.001,4,0.7910561792619447,0.7960006922607089,12,17,20,0
64,0.5,3,0.001,4,0.7910125809956995,0.8058055011528984,8,13,20,0
64,0.5,2,0.001,4,0.7909730996616632,0.7796365985825836,8,13,20,0
64,0.5,2,0.001,2,0.7908694536663066,0.7695206733192892,12,17,20,0
64,0.1,3,0.001,2,0.7906505158337058,0.798075535812667,11,16,20,0
256,0.1,2,0.0001,2,0.7905130653034896,0.7943193260581823,22,27,40,0
256,0.1,3,0.0001,3,0.7904954522332965,0.781951987282692,9,14,40,0
128,0.3,3,0.001,2,0.7904200306532709,0.7904200306532709,1,6,20,0
256,0.1,2,0.0001,4,0.7896781791403211,0.7794705242752974,18,23,40,0
128,0.5,2,0.001,3,0.7896058314098894,0.7857500253384523,10,15,20,0
128,0.1,3,0.001,3,0.789508516783516,0.807015360520146,4,9,20,0
64,0.1,2,0.001,4,0.7892673981516527,0.7947210281107779,4,9,20,0
256,0.5,3,0.001,4,0.7890923560941,0.7937684404156568,18,20,20,0
64,0.3,1,0.0001,4,0.7887159499228348,0.7944391961048941,19,24,40,0
64,0.1,2,0.001,2,0.7882999039289774,0.7965696403775827,10,15,20,0
256,0.5,3,0.001,2,0.7880835630174056,0.7994703022395572,7,12,20,0
128,0.1,2,0.001,3,0.7879695313981961,0.7877308651457694,5,10,20,0
128,0.3,2,0.0001,3,0.787658294422623,0.7887752889956559,13,18,40,0
256,0.5,3,0.0001,4,0.7876137446519903,0.7972438088964043,16,21,40,0
128,0.1,2,0.0001,4,0.7875402342003609,0.7959711463906676,19,24,40,0
256,0.1,3,0.0001,2,0.7870787540664602,0.7967091427547347,19,24,40,0
256,0.5,3,0.0001,3,0.7867783083529026,0.7938296369774392,14,19,40,0
128,0.3,2,0.001,2,0.7866997058314565,0.7760013660881901,17,20,20,0
128,0.5,2,0.001,2,0.7863324000344258,0.7987376907510026,4,9,20,0
128,0.1,2,0.001,2,0.7863066967607862,0.789785866535028,11,16,20,0
64,0.1,1,0.001,3,0.7862117570429064,0.7862770029249134,12,17,20,0
128,0.3,3,0.001,4,0.7861123805261785,0.7964100215523275,2,7,20,0
256,0.5,2,0.001,3,0.786016560658108,0.7807638216359342,8,13,20,0
256,0.1,2,0.001,3,0.785718713068882,0.7899346023619844,13,18,20,0
64,0.3,1,0.001,4,0.7853799443563698,0.784663880573061,5,10,20,0
64,0.1,1,0.0001,4,0.7851724124330598,0.7899023451496929,14,19,40,0
128,0.5,3,0.001,4,0.7850888933064427,0.7877530782855916,7,12,20,0
256,0.3,2,0.001,4,0.7848822153486791,0.7942434290655194,11,16,20,0
128,0.3,3,0.001,3,0.7845147524023642,0.7804226291926123,7,12,20,0
64,0.1,2,0.001,3,0.784491389675754,0.7818320887425159,15,20,20,0
