variant,position,time,historical,decay,start,thresh,mid,steep,changed_from_default,n_seeds,val_ndcg_mean,val_ndcg_std,val_auc_mean,val_auc_std,epochs_run,best_epoch,timestamp
no_time,True,False,True,3.0,2.0,0.1,0.5,6.0,"{""time"": false}",3,0.7947,0.0018,0.6465,0.0056,"[40, 23, 17]","[35, 18, 12]",2026-08-16 19:30:27.807544
no_historical,True,True,False,3.0,2.0,0.1,0.5,6.0,"{""historical"": false}",3,0.7932,0.0015,0.6436,0.003,"[27, 15, 22]","[22, 10, 17]",2026-08-16 19:17:35.856291
decay_5,True,True,True,5.0,2.0,0.1,0.5,6.0,"{""decay"": 5.0}",3,0.793,0.0008,0.6446,0.004,"[21, 23, 22]","[16, 18, 17]",2026-08-16 19:21:53.847237
mid_0.2,True,True,True,3.0,2.0,0.1,0.2,6.0,"{""mid"": 0.2}",3,0.7929,0.0007,0.6428,0.0024,"[23, 23, 22]","[18, 18, 17]",2026-08-16 18:57:09.178955
mid_0.37,True,True,True,3.0,2.0,0.1,0.37,6.0,"{""mid"": 0.37}",3,0.7927,0.0004,0.6437,0.0009,"[23, 34, 22]","[18, 29, 17]",2026-08-16 19:01:03.310338
steep_3,True,True,True,3.0,2.0,0.1,0.5,3.0,"{""steep"": 3.0}",3,0.7925,0.0013,0.6413,0.0027,"[32, 23, 22]","[27, 18, 17]",2026-08-16 19:00:40.211961
mid_0.7,True,True,True,3.0,2.0,0.1,0.7,6.0,"{""mid"": 0.7}",3,0.7922,0.0016,0.6422,0.0032,"[23, 15, 22]","[18, 10, 17]",2026-08-16 18:54:20.995505
full,True,True,True,3.0,2.0,0.1,0.5,6.0,{},3,0.79,0.0045,0.6433,0.0011,"[7, 34, 30]","[2, 29, 25]",2026-08-16 19:20:40.490500
no_position,False,True,True,3.0,2.0,0.1,0.5,6.0,"{""position"": false}",3,0.7896,0.0034,0.6428,0.0023,"[9, 32, 22]","[4, 27, 17]",2026-08-16 19:18:54.982193
decay_1,True,True,True,1.0,2.0,0.1,0.5,6.0,"{""decay"": 1.0}",3,0.7895,0.0041,0.643,0.0006,"[7, 34, 22]","[2, 29, 17]",2026-08-16 19:18:43.879288
steep_9,True,True,True,3.0,2.0,0.1,0.5,9.0,"{""steep"": 9.0}",3,0.7893,0.0041,0.6434,0.0043,"[7, 23, 22]","[2, 18, 17]",2026-08-16 18:51:17.444069
thresh_0.2,True,True,True,3.0,2.0,0.2,0.5,6.0,"{""thresh"": 0.2}",3,0.789,0.0036,0.6417,0.0037,"[7, 16, 31]","[2, 11, 26]",2026-08-16 18:51:49.098101
thresh_0.05,True,True,True,3.0,2.0,0.05,0.5,6.0,"{""thresh"": 0.05}",3,0.7885,0.0036,0.6422,0.0033,"[7, 15, 22]","[2, 10, 17]",2026-08-16 18:48:16.035038
start_4,True,True,True,3.0,4.0,0.1,0.5,6.0,"{""start"": 4}",3,0.786,0.0023,0.6385,0.0059,"[7, 15, 17]","[2, 10, 12]",2026-08-16 19:02:25.435825
start_6,True,True,True,3.0,6.0,0.1,0.5,6.0,"{""start"": 6}",3,0.784,0.0019,0.6338,0.005,"[9, 15, 17]","[4, 10, 12]",2026-08-16 19:04:07.852730
