session_id,split_index,context_len,query_len,session_len,query_skip_rate,ndcg_model,ndcg_random,lift
077dbae1-5028-4281-9377-6b4edaf14dc8_14749,1,3,21,24,0.1905,0.6859,0.8095,-0.1236
077dbae1-5028-4281-9377-6b4edaf14dc8_14749,2,7,17,24,0.1765,0.7198,0.8235,-0.1037
077dbae1-5028-4281-9377-6b4edaf14dc8_14749,3,11,13,24,0.0769,1,0.9231,0.0769
077dbae1-5028-4281-9377-6b4edaf14dc8_14749,4,15,9,24,0.1111,1,0.8889,0.1111
077dbae1-5028-4281-9377-6b4edaf14dc8_14749,5,19,5,24,0.2,0.9966,0.9208,0.0758
077dbae1-5028-4281-9377-6b4edaf14dc8_14752,1,8,115,123,0.6348,1,0.3652,0.6348
077dbae1-5028-4281-9377-6b4edaf14dc8_14752,2,33,90,123,0.5444,0.9708,0.4556,0.5152
077dbae1-5028-4281-9377-6b4edaf14dc8_14752,3,59,64,123,0.375,0.9708,0.625,0.3458
077dbae1-5028-4281-9377-6b4edaf14dc8_14752,4,84,39,123,0.0769,1,0.9231,0.0769
077dbae1-5028-4281-9377-6b4edaf14dc8_14752,5,110,13,123,0.1538,0.6743,0.8462,-0.1719
077dbae1-5028-4281-9377-6b4edaf14dc8_14769,1,9,30,39,0.3667,0.8522,0.6333,0.2189
077dbae1-5028-4281-9377-6b4edaf14dc8_14769,2,14,25,39,0.36,0.9445,0.64,0.3045
077dbae1-5028-4281-9377-6b4edaf14dc8_14769,3,20,19,39,0.3684,0.8552,0.6316,0.2236
077dbae1-5028-4281-9377-6b4edaf14dc8_14769,4,25,14,39,0.2143,1,0.7857,0.2143
077dbae1-5028-4281-9377-6b4edaf14dc8_14769,5,31,8,39,0.125,0.7876,0.875,-0.0874
077dbae1-5028-4281-9377-6b4edaf14dc8_14782,1,4,26,30,0.0385,1,0.9615,0.0385
077dbae1-5028-4281-9377-6b4edaf14dc8_14782,2,7,23,30,0.0435,1,0.9565,0.0435
077dbae1-5028-4281-9377-6b4edaf14dc8_14782,3,10,20,30,0.05,1,0.95,0.05
077dbae1-5028-4281-9377-6b4edaf14dc8_14782,4,13,17,30,0.0588,1,0.9412,0.0588
077dbae1-5028-4281-9377-6b4edaf14dc8_14782,5,17,13,30,0.0769,0.9153,0.9231,-0.0077
077dbae1-5028-4281-9377-6b4edaf14dc8_14796,1,20,34,54,0.0294,1,0.9706,0.0294
077dbae1-5028-4281-9377-6b4edaf14dc8_14796,2,22,32,54,0.0312,1,0.9687,0.0313
077dbae1-5028-4281-9377-6b4edaf14dc8_14796,3,24,30,54,0.0333,1,0.9667,0.0333
077dbae1-5028-4281-9377-6b4edaf14dc8_14796,4,26,28,54,0.0357,1,0.9643,0.0357
077dbae1-5028-4281-9377-6b4edaf14dc8_14796,5,28,26,54,0.0385,0.7965,0.9615,-0.165
077dbae1-5028-4281-9377-6b4edaf14dc8_14839,1,3,13,16,0.2308,0.8921,0.7692,0.1228
077dbae1-5028-4281-9377-6b4edaf14dc8_14839,2,5,11,16,0.2727,0.798,0.7273,0.0707
077dbae1-5028-4281-9377-6b4edaf14dc8_14839,3,7,9,16,0.3333,0.795,0.6667,0.1284
077dbae1-5028-4281-9377-6b4edaf14dc8_14839,4,9,7,16,0.2857,0.8195,0.7143,0.1052
077dbae1-5028-4281-9377-6b4edaf14dc8_14839,5,11,5,16,0.2,0.9433,0.9208,0.0225
077dbae1-5028-4281-9377-6b4edaf14dc8_14846,1,5,105,110,0.2,0.9233,0.8,0.1233
077dbae1-5028-4281-9377-6b4edaf14dc8_14846,2,11,99,110,0.1717,1,0.8283,0.1717
077dbae1-5028-4281-9377-6b4edaf14dc8_14846,3,17,93,110,0.1505,1,0.8495,0.1505
077dbae1-5028-4281-9377-6b4edaf14dc8_14846,4,23,87,110,0.092,1,0.908,0.092
077dbae1-5028-4281-9377-6b4edaf14dc8_14846,5,30,80,110,0.0125,1,0.9875,0.0125
077dbae1-5028-4281-9377-6b4edaf14dc8_14848,1,3,83,86,0.0482,0.8983,0.9518,-0.0536
077dbae1-5028-4281-9377-6b4edaf14dc8_14848,2,21,65,86,0.0462,0.9059,0.9538,-0.0479
077dbae1-5028-4281-9377-6b4edaf14dc8_14848,3,40,46,86,0.0435,0.9708,0.9565,0.0143
077dbae1-5028-4281-9377-6b4edaf14dc8_14848,4,58,28,86,0.0714,0.9738,0.9286,0.0452
077dbae1-5028-4281-9377-6b4edaf14dc8_14848,5,77,9,86,0.1111,1,0.8889,0.1111
077dbae1-5028-4281-9377-6b4edaf14dc8_14849,1,25,226,251,0.0044,1,0.9956,0.0044
077dbae1-5028-4281-9377-6b4edaf14dc8_14849,2,59,192,251,0.0052,1,0.9948,0.0052
077dbae1-5028-4281-9377-6b4edaf14dc8_14849,3,94,157,251,0.0064,1,0.9936,0.0064
077dbae1-5028-4281-9377-6b4edaf14dc8_14849,4,129,122,251,0.0082,1,0.9918,0.0082
077dbae1-5028-4281-9377-6b4edaf14dc8_14849,5,164,87,251,0.0115,0.8351,0.9885,-0.1534
077dbae1-5028-4281-9377-6b4edaf14dc8_14864,1,3,23,26,0.0435,1,0.9565,0.0435
077dbae1-5028-4281-9377-6b4edaf14dc8_14864,2,7,19,26,0.0526,1,0.9474,0.0526
077dbae1-5028-4281-9377-6b4edaf14dc8_14864,3,12,14,26,0.0714,1,0.9286,0.0714
077dbae1-5028-4281-9377-6b4edaf14dc8_14864,4,16,10,26,0.1,1,0.9,0.1
077dbae1-5028-4281-9377-6b4edaf14dc8_14864,5,21,5,26,0.2,0.9877,0.9208,0.0669
077dbae1-5028-4281-9377-6b4edaf14dc8_14875,1,3,115,118,0.0435,0.9661,0.9565,0.0096
077dbae1-5028-4281-9377-6b4edaf14dc8_14875,2,5,113,118,0.0354,0.9738,0.9646,0.0092
077dbae1-5028-4281-9377-6b4edaf14dc8_14875,3,8,110,118,0.0273,1,0.9727,0.0273
077dbae1-5028-4281-9377-6b4edaf14dc8_14875,4,11,107,118,0.028,0.9708,0.972,-0.0012
077dbae1-5028-4281-9377-6b4edaf14dc8_14875,5,14,104,118,0.0096,1,0.9904,0.0096
077dbae1-5028-4281-9377-6b4edaf14dc8_14877,1,3,25,28,0.32,0.7,0.68,0.02
077dbae1-5028-4281-9377-6b4edaf14dc8_14877,2,8,20,28,0.25,0.869,0.75,0.119
077dbae1-5028-4281-9377-6b4edaf14dc8_14877,3,13,15,28,0.2667,0.9398,0.7333,0.2065
077dbae1-5028-4281-9377-6b4edaf14dc8_14877,4,18,10,28,0.4,0.8339,0.6,0.2339
077dbae1-5028-4281-9377-6b4edaf14dc8_14877,5,23,5,28,0.4,0.9935,0.8302,0.1633
077dbae1-5028-4281-9377-6b4edaf14dc8_14891,1,8,162,170,0.8704,0.3398,0.1296,0.2102
077dbae1-5028-4281-9377-6b4edaf14dc8_14891,2,44,126,170,0.8651,0.823,0.1349,0.6881
077dbae1-5028-4281-9377-6b4edaf14dc8_14891,3,80,90,170,0.8889,0.8201,0.1111,0.7089
077dbae1-5028-4281-9377-6b4edaf14dc8_14891,4,116,54,170,0.8333,0.7997,0.1667,0.6331
077dbae1-5028-4281-9377-6b4edaf14dc8_14891,5,153,17,170,0.4706,0.9106,0.5294,0.3812
077dbae1-5028-4281-9377-6b4edaf14dc8_14895,1,3,15,18,0.2,0.8755,0.8,0.0755
077dbae1-5028-4281-9377-6b4edaf14dc8_14895,2,5,13,18,0.1538,0.9017,0.8462,0.0556
077dbae1-5028-4281-9377-6b4edaf14dc8_14895,3,7,11,18,0.1818,0.8874,0.8182,0.0692
077dbae1-5028-4281-9377-6b4edaf14dc8_14895,4,9,9,18,0.2222,0.6599,0.7778,-0.1179
077dbae1-5028-4281-9377-6b4edaf14dc8_14895,5,12,6,18,0.1667,0.8522,0.8333,0.0189
077dbae1-5028-4281-9377-6b4edaf14dc8_14906,1,11,10,21,0.3,0.4805,0.7,-0.2195
077dbae1-5028-4281-9377-6b4edaf14dc8_14906,2,12,9,21,0.3333,0.6968,0.6667,0.0301
077dbae1-5028-4281-9377-6b4edaf14dc8_14906,3,13,8,21,0.375,0.6688,0.625,0.0438
077dbae1-5028-4281-9377-6b4edaf14dc8_14906,4,14,7,21,0.4286,0.6434,0.6577,-0.0143
077dbae1-5028-4281-9377-6b4edaf14dc8_14906,5,16,5,21,0.4,0.8902,0.8302,0.06
077dbae1-5028-4281-9377-6b4edaf14dc8_14908,1,3,28,31,0.0714,1,0.9286,0.0714
077dbae1-5028-4281-9377-6b4edaf14dc8_14908,2,6,25,31,0.08,0.9708,0.92,0.0508
077dbae1-5028-4281-9377-6b4edaf14dc8_14908,3,9,22,31,0.0909,0.931,0.9091,0.0219
077dbae1-5028-4281-9377-6b4edaf14dc8_14908,4,12,19,31,0.0526,0.8458,0.9474,-0.1016
077dbae1-5028-4281-9377-6b4edaf14dc8_14908,5,16,15,31,0.0667,0.6608,0.9333,-0.2725
077dbae1-5028-4281-9377-6b4edaf14dc8_14919,1,4,39,43,0.0769,1,0.9231,0.0769
077dbae1-5028-4281-9377-6b4edaf14dc8_14919,2,12,31,43,0.0968,1,0.9032,0.0968
077dbae1-5028-4281-9377-6b4edaf14dc8_14919,3,21,22,43,0.0455,0.9661,0.9545,0.0115
077dbae1-5028-4281-9377-6b4edaf14dc8_14919,4,29,14,43,0.0714,0.9738,0.9286,0.0452
077dbae1-5028-4281-9377-6b4edaf14dc8_14919,5,38,5,43,0.2,0.7606,0.9208,-0.1602
077dbae1-5028-4281-9377-6b4edaf14dc8_14935,1,7,11,18,0.6364,0.659,0.4186,0.2405
077dbae1-5028-4281-9377-6b4edaf14dc8_14935,2,8,10,18,0.6,0.7561,0.4604,0.2957
077dbae1-5028-4281-9377-6b4edaf14dc8_14935,3,10,8,18,0.5,0.7761,0.5755,0.2006
077dbae1-5028-4281-9377-6b4edaf14dc8_14935,4,11,7,18,0.4286,0.7707,0.6577,0.113
077dbae1-5028-4281-9377-6b4edaf14dc8_14935,5,13,5,18,0.4,0.9076,0.8302,0.0775
077dbae1-5028-4281-9377-6b4edaf14dc8_14946,1,9,26,35,0.1538,1,0.8462,0.1538
077dbae1-5028-4281-9377-6b4edaf14dc8_14946,2,13,22,35,0.0455,1,0.9545,0.0455
077dbae1-5028-4281-9377-6b4edaf14dc8_14946,3,17,18,35,0.0556,1,0.9444,0.0556
077dbae1-5028-4281-9377-6b4edaf14dc8_14946,4,21,14,35,0.0714,0.9475,0.9286,0.0189
077dbae1-5028-4281-9377-6b4edaf14dc8_14946,5,25,10,35,0.1,0.7287,0.9,-0.1713
077dbae1-5028-4281-9377-6b4edaf14dc8_14948,1,13,45,58,0.4444,0.4322,0.5556,-0.1234
077dbae1-5028-4281-9377-6b4edaf14dc8_14948,2,22,36,58,0.3611,0.8119,0.6389,0.173
077dbae1-5028-4281-9377-6b4edaf14dc8_14948,3,31,27,58,0.2963,0.4055,0.7037,-0.2982
077dbae1-5028-4281-9377-6b4edaf14dc8_14948,4,40,18,58,0.1111,0.8038,0.8889,-0.0851
077dbae1-5028-4281-9377-6b4edaf14dc8_14948,5,49,9,58,0.1111,0.8042,0.8889,-0.0847
077dbae1-5028-4281-9377-6b4edaf14dc8_14956,1,3,16,19,0.1875,0.9738,0.8125,0.1613
077dbae1-5028-4281-9377-6b4edaf14dc8_14956,2,5,14,19,0.1429,0.9738,0.8571,0.1166
077dbae1-5028-4281-9377-6b4edaf14dc8_14956,3,7,12,19,0.1667,0.9059,0.8333,0.0726
077dbae1-5028-4281-9377-6b4edaf14dc8_14956,4,9,10,19,0.2,0.6835,0.8,-0.1165
077dbae1-5028-4281-9377-6b4edaf14dc8_14956,5,12,7,19,0.1429,0.8983,0.8571,0.0411
077dbae1-5028-4281-9377-6b4edaf14dc8_14957,1,36,9,45,0.2222,0.7584,0.7778,-0.0194
077dbae1-5028-4281-9377-6b4edaf14dc8_14957,2,37,8,45,0.125,0.7673,0.875,-0.1077
077dbae1-5028-4281-9377-6b4edaf14dc8_14957,3,38,7,45,0.1429,0.7631,0.8571,-0.094
077dbae1-5028-4281-9377-6b4edaf14dc8_14957,4,39,6,45,0.1667,0.7334,0.8333,-0.1
077dbae1-5028-4281-9377-6b4edaf14dc8_14957,5,40,5,45,0.2,0.8861,0.9208,-0.0347
077dbae1-5028-4281-9377-6b4edaf14dc8_14958,1,3,38,41,0.0526,0.8983,0.9474,-0.0491
077dbae1-5028-4281-9377-6b4edaf14dc8_14958,2,11,30,41,0.0333,1,0.9667,0.0333
077dbae1-5028-4281-9377-6b4edaf14dc8_14958,3,19,22,41,0.0455,0.8725,0.9545,-0.082
077dbae1-5028-4281-9377-6b4edaf14dc8_14958,4,27,14,41,0.0714,0.9738,0.9286,0.0452
077dbae1-5028-4281-9377-6b4edaf14dc8_14958,5,36,5,41,0.2,0.9154,0.9208,-0.0054
077dbae1-5028-4281-9377-6b4edaf14dc8_14963,1,7,37,44,0.1351,0.8136,0.8649,-0.0513
077dbae1-5028-4281-9377-6b4edaf14dc8_14963,2,15,29,44,0.1724,0.9738,0.8276,0.1462
077dbae1-5028-4281-9377-6b4edaf14dc8_14963,3,23,21,44,0.2381,0.903,0.7619,0.141
077dbae1-5028-4281-9377-6b4edaf14dc8_14963,4,31,13,44,0.2308,0.9738,0.7692,0.2045
077dbae1-5028-4281-9377-6b4edaf14dc8_14963,5,39,5,44,0.2,1,0.9208,0.0792
077dbae1-5028-4281-9377-6b4edaf14dc8_14971,1,3,23,26,0.1739,0.859,0.8261,0.0329
077dbae1-5028-4281-9377-6b4edaf14dc8_14971,2,7,19,26,0.0526,0.9572,0.9474,0.0098
077dbae1-5028-4281-9377-6b4edaf14dc8_14971,3,11,15,26,0.0667,0.9445,0.9333,0.0112
077dbae1-5028-4281-9377-6b4edaf14dc8_14971,4,15,11,26,0.0909,0.928,0.9091,0.0189
077dbae1-5028-4281-9377-6b4edaf14dc8_14971,5,19,7,26,0.1429,0.6859,0.8571,-0.1713
077dbae1-5028-4281-9377-6b4edaf14dc8_14974,1,3,9,12,0.7778,0.2613,0.4017,-0.1404
077dbae1-5028-4281-9377-6b4edaf14dc8_14974,2,4,8,12,0.75,0.6131,0.452,0.1612
077dbae1-5028-4281-9377-6b4edaf14dc8_14974,3,5,7,12,0.7143,0.7134,0.5165,0.1969
077dbae1-5028-4281-9377-6b4edaf14dc8_14974,4,6,6,12,0.6667,0.836,0.6026,0.2334
077dbae1-5028-4281-9377-6b4edaf14dc8_14974,5,7,5,12,0.6,0.9134,0.7231,0.1903
077dbae1-5028-4281-9377-6b4edaf14dc8_14976,1,12,23,35,0.3913,0.9661,0.6087,0.3574
077dbae1-5028-4281-9377-6b4edaf14dc8_14976,2,14,21,35,0.3333,1,0.6667,0.3333
077dbae1-5028-4281-9377-6b4edaf14dc8_14976,3,17,18,35,0.2778,1,0.7222,0.2778
077dbae1-5028-4281-9377-6b4edaf14dc8_14976,4,19,16,35,0.25,1,0.75,0.25
077dbae1-5028-4281-9377-6b4edaf14dc8_14976,5,22,13,35,0.0769,1,0.9231,0.0769
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,1,9,38,47,0.1842,0.9369,0.8158,0.1211
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,2,11,36,47,0.1944,0.5369,0.8056,-0.2687
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,3,14,33,47,0.1212,0.9369,0.8788,0.0581
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,4,16,31,47,0.0645,0.9322,0.9355,-0.0033
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,5,19,28,47,0.0357,0.6859,0.9643,-0.2784
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,1,6,10,16,0.4,0.4272,0.6,-0.1728
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,2,7,9,16,0.4444,0.4487,0.5556,-0.1068
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,3,8,8,16,0.5,0.4706,0.5755,-0.1049
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,4,9,7,16,0.5714,0.3576,0.593,-0.2354
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,5,11,5,16,0.6,0.7616,0.7231,0.0384
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,1,3,18,21,0.5,0.5802,0.5,0.0802
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,2,6,15,21,0.4667,0.6254,0.5333,0.0921
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,3,9,12,21,0.5,0.6309,0.5,0.1309
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,4,12,9,21,0.3333,0.8262,0.6667,0.1596
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,5,16,5,21,0.2,0.9531,0.9208,0.0322
077dbae1-5028-4281-9377-6b4edaf14dc8_14993,1,5,12,17,0.75,0.5648,0.3459,0.2189
077dbae1-5028-4281-9377-6b4edaf14dc8_14993,2,6,11,17,0.7273,0.7289,0.3774,0.3515
