max_depth,min_samples_leaf,n_estimators,val_ndcg,n_sessions
15,20,200,0.7689913211282676,12011
15,10,200,0.7689231736013376,12011
15,30,100,0.7689214917304454,12011
15,20,300,0.7689090134374786,12011
15,20,100,0.7689089618513452,12011
15,10,100,0.768908667247439,12011
15,10,300,0.7688187213608413,12011
15,30,200,0.7686911850508467,12011
15,30,300,0.7685824345719081,12011
12,30,100,0.7684322441550511,12011
12,30,200,0.7682179870061802,12011
12,20,100,0.7681596894767753,12011
12,20,200,0.7679830482490018,12011
12,20,300,0.7677443059587513,12011
12,10,100,0.7676049270060804,12011
12,10,300,0.7674396153534068,12011
12,10,200,0.7674126862686096,12011
12,30,300,0.7674002461562827,12011
8,20,100,0.7666274596368478,12011
8,10,100,0.766517293502309,12011
8,30,100,0.7664657207502779,12011
10,30,100,0.7664421782354721,12011
10,20,100,0.7662893112402456,12011
10,10,200,0.766285558312455,12011
10,30,300,0.7661250208612115,12011
10,20,300,0.766095256129036,12011
10,10,100,0.7660941541158667,12011
10,20,200,0.7660343902940303,12011
10,30,200,0.7660317520978259,12011
10,10,300,0.7659419892374789,12011
8,20,200,0.7658839879809598,12011
8,20,300,0.7658387820386737,12011
8,30,200,0.7655342417640641,12011
8,10,200,0.7652274276774469,12011
8,30,300,0.7648478044090787,12011
8,10,300,0.7646154463074272,12011
