split,label,reason_end,n,share_of_label
training,skipped,fwdbtn,960579,0.9922
training,skipped,clickrow,7527,0.0078
training,not_skipped,trackdone,977882,0.6229
training,not_skipped,endplay,450956,0.2873
training,not_skipped,backbtn,63667,0.0406
training,not_skipped,unexpected-exit-while-paused,25349,0.0161
training,not_skipped,logout,22746,0.0145
training,not_skipped,remote,14720,0.0094
training,not_skipped,unknown,4861,0.0031
training,not_skipped,unexpected-exit,2883,0.0018
training,not_skipped,popup,1409,0.0009
training,not_skipped,trackerror,841,0.0005
validation,skipped,fwdbtn,176801,1.0
validation,not_skipped,trackdone,223814,0.6704
validation,not_skipped,endplay,83623,0.2505
validation,not_skipped,backbtn,9572,0.0287
validation,not_skipped,unexpected-exit-while-paused,6044,0.0181
validation,not_skipped,logout,5801,0.0174
validation,not_skipped,remote,3878,0.0116
validation,not_skipped,unknown,538,0.0016
validation,not_skipped,unexpected-exit,455,0.0014
validation,not_skipped,trackerror,135,0.0004
testing,skipped,fwdbtn,177293,1.0
testing,skipped,clickrow,1,0.0
testing,not_skipped,trackdone,219254,0.6832
testing,not_skipped,endplay,77335,0.241
testing,not_skipped,backbtn,8868,0.0276
testing,not_skipped,unexpected-exit-while-paused,6044,0.0188
testing,not_skipped,logout,5633,0.0176
testing,not_skipped,remote,2926,0.0091
testing,not_skipped,trackerror,465,0.0014
testing,not_skipped,unexpected-exit,356,0.0011
testing,not_skipped,unknown,37,0.0001
testing,not_skipped,switched-to-video,3,0.0
all,skipped,fwdbtn,1314673,0.9943
all,skipped,clickrow,7528,0.0057
all,not_skipped,trackdone,1420950,0.6387
all,not_skipped,endplay,611914,0.2751
all,not_skipped,backbtn,82107,0.0369
all,not_skipped,unexpected-exit-while-paused,37437,0.0168
all,not_skipped,logout,34180,0.0154
all,not_skipped,remote,21524,0.0097
all,not_skipped,unknown,5436,0.0024
all,not_skipped,unexpected-exit,3694,0.0017
all,not_skipped,trackerror,1441,0.0006
all,not_skipped,popup,1409,0.0006
