hidden_units,dropout_rate,num_blocks,num_heads,lr,val_ndcg,val_ndcg_raw,best_epoch,epochs_run,max_epochs
256,0.1,1,16,0.001,0.7833886532869118,0.7827366125337533,20,20,20
256,0.3,1,4,0.001,0.7832506492454904,0.7820783487494742,18,20,20
128,0.1,1,8,0.001,0.7830163651741627,0.7855732855878595,20,20,20
256,0.1,1,4,0.001,0.7828218683627334,0.7831965912228214,16,20,20
256,0.3,1,8,0.001,0.782560453798436,0.7834813135337538,19,20,20
128,0.1,3,8,0.001,0.7821919573797601,0.7841989577828659,20,20,20
256,0.1,1,8,0.001,0.7819379327023226,0.7813323199694053,17,20,20
64,0.1,3,4,0.001,0.7818351839968288,0.7802130512329379,19,20,20
128,0.1,2,4,0.001,0.7817997196229793,0.7832526655476245,20,20,20
128,0.1,2,8,0.001,0.7814678411006154,0.7831422152001717,15,20,20
256,0.3,2,16,0.001,0.781372623174426,0.7819981050711304,19,20,20
128,0.1,1,4,0.001,0.7813721972774705,0.7803466020459108,13,18,20
128,0.1,1,16,0.001,0.7813639464375578,0.7805965171566492,19,20,20
64,0.1,3,8,0.001,0.7813238710379333,0.7825251376936865,19,20,20
256,0.3,3,8,0.0001,0.7811464832067404,0.7819191444570776,35,40,40
128,0.3,1,4,0.001,0.7811257613688577,0.7822924060521754,20,20,20
64,0.1,2,16,0.001,0.7810143052908639,0.781494748483549,20,20,20
256,0.1,2,8,0.001,0.7809989265287826,0.7810649706840187,20,20,20
128,0.1,2,16,0.001,0.7808955695321446,0.7825491947763806,20,20,20
128,0.1,3,4,0.001,0.7808609426755275,0.7810551081705346,20,20,20
256,0.5,1,4,0.001,0.780572713150753,0.7823177595631057,20,20,20
128,0.1,3,16,0.001,0.7803965503180693,0.7825969952926666,20,20,20
64,0.1,2,4,0.001,0.7803956157097129,0.7804343906176368,20,20,20
128,0.5,1,4,0.001,0.780383715543851,0.7822190116092551,15,20,20
256,0.3,2,4,0.001,0.7803599742433202,0.7804096805045926,20,20,20
256,0.3,2,8,0.001,0.780347217174355,0.7808391633210708,18,20,20
256,0.5,1,8,0.001,0.7803409177318131,0.7816322817272445,20,20,20
128,0.3,1,16,0.001,0.7803256086087513,0.7840595330274871,20,20,20
256,0.1,2,4,0.0001,0.7803173048599382,0.7812228975352015,26,31,40
64,0.1,1,8,0.001,0.7802981924085807,0.7812581123881109,20,20,20
64,0.1,3,16,0.001,0.7802165591810967,0.7825090741240438,20,20,20
128,0.3,3,4,0.001,0.780038556947348,0.7803857205264129,15,20,20
256,0.1,3,4,0.001,0.7799075526060628,0.7822264954784132,16,20,20
256,0.3,2,4,0.0001,0.7797272653746022,0.7804639594763918,27,32,40
128,0.3,1,8,0.001,0.7797268302446744,0.7817449856179843,19,20,20
256,0.3,3,4,0.001,0.7796913666118215,0.7803030193886857,20,20,20
64,0.1,2,8,0.001,0.779662285903358,0.779281102311544,20,20,20
256,0.1,3,4,0.0001,0.7796577161977497,0.7779280469595395,28,33,40
128,0.3,2,4,0.001,0.7795438306813741,0.7762346953557095,17,20,20
256,0.1,2,8,0.0001,0.7794844921551608,0.7793422846180099,24,29,40
256,0.3,3,16,0.0001,0.779455336995874,0.7790700445151734,40,40,40
128,0.3,3,16,0.001,0.7794145266532458,0.7791897456997126,20,20,20
256,0.3,2,16,0.0001,0.7794122123466178,0.7793370640647606,35,40,40
256,0.1,2,4,0.001,0.7793920252985133,0.7809327935380331,11,16,20
256,0.5,1,4,0.0001,0.7793493942061263,0.7774614633129459,36,40,40
128,0.3,2,8,0.001,0.7792676283842447,0.7795929020158068,17,20,20
256,0.3,1,16,0.001,0.7792357017536403,0.778371164543809,17,20,20
128,0.3,2,16,0.001,0.7792269224825197,0.7797695902561341,19,20,20
128,0.5,1,8,0.001,0.7790914907973597,0.7784574371255919,18,20,20
256,0.5,3,4,0.0001,0.7790718680857601,0.779249315719585,27,32,40
128,0.1,3,8,0.0001,0.7790104424409506,0.7793950200937879,32,37,40
64,0.1,1,16,0.001,0.7787642040680812,0.778611933028223,18,20,20
256,0.5,1,16,0.001,0.7785928904370664,0.7793782491790285,20,20,20
128,0.5,2,8,0.001,0.77858854931297,0.7775087378507939,18,20,20
256,0.3,1,4,0.0001,0.778538780676319,0.7775060511834069,27,32,40
128,0.1,2,8,0.0001,0.778455202898764,0.7781943570435961,40,40,40
128,0.3,1,4,0.0001,0.7784212391073048,0.7786042517608234,40,40,40
256,0.3,3,8,0.001,0.7784203299921612,0.7792347163347638,19,20,20
256,0.1,3,16,0.0001,0.7783573514506958,0.7771320244024467,23,28,40
128,0.3,3,8,0.001,0.7782974011264819,0.7770197289480462,17,20,20
256,0.1,2,16,0.0001,0.7782902153010959,0.7772350614586365,35,40,40
256,0.3,2,8,0.0001,0.7782535872462614,0.7785583024161699,29,34,40
128,0.1,3,16,0.0001,0.7782327416087202,0.7782192747495975,38,40,40
256,0.1,2,16,0.001,0.7782249772281427,0.779994388011237,18,20,20
256,0.1,1,16,0.0001,0.7779462452976476,0.7773826522457571,35,40,40
256,0.3,3,16,0.001,0.7778979127779904,0.7776710437093125,18,20,20
256,0.5,3,8,0.0001,0.7778378739360668,0.7787314571193024,32,37,40
256,0.5,2,4,0.0001,0.777556803729056,0.7779106489904999,38,40,40
128,0.1,3,4,0.0001,0.7774860673473682,0.7772482115012863,23,28,40
256,0.1,1,8,0.0001,0.7774788604178419,0.7775341930470435,27,32,40
64,0.3,2,8,0.001,0.7774743156893438,0.7777171763370969,20,20,20
64,0.3,3,8,0.001,0.7774726876769398,0.7770998689077462,20,20,20
256,0.5,2,16,0.001,0.7773291969544696,0.777390575483267,17,20,20
256,0.1,3,16,0.001,0.7771955169620041,0.7770385055558285,18,20,20
256,0.5,2,8,0.001,0.7771941323221733,0.7802705825785105,20,20,20
64,0.3,3,4,0.001,0.7771385495241246,0.7787476646822327,17,20,20
64,0.3,1,4,0.001,0.7770522240067804,0.7767762192984766,9,14,20
256,0.5,3,8,0.001,0.7770272902769718,0.7751776070872508,16,20,20
256,0.3,3,4,0.0001,0.7769937289462637,0.7768224247514672,12,17,40
64,0.3,3,16,0.001,0.7768902507027885,0.7759974807357398,16,20,20
256,0.1,3,8,0.001,0.776691299912453,0.7774772702825137,7,12,20
128,0.5,1,16,0.001,0.776685415445432,0.7783663617395106,12,17,20
256,0.5,2,8,0.0001,0.7766239985444078,0.7774662030805867,30,35,40
128,0.1,1,16,0.0001,0.7764665509338973,0.7751035012971389,39,40,40
128,0.1,2,4,0.0001,0.7764514209327898,0.7764546565240533,21,26,40
128,0.5,2,16,0.001,0.7764359412098725,0.7767318983268336,16,20,20
256,0.1,3,8,0.0001,0.776404259968314,0.7759971870273533,12,17,40
256,0.5,3,16,0.001,0.776359762578747,0.7751338616807518,17,20,20
64,0.5,1,8,0.001,0.7763507046191772,0.7775602780657697,15,20,20
64,0.3,1,8,0.001,0.7763422624565471,0.7785261849440324,20,20,20
256,0.3,1,16,0.0001,0.7760986129252402,0.775159516581874,29,34,40
256,0.3,1,8,0.0001,0.7760610408292345,0.7761616347294177,24,29,40
64,0.1,3,4,0.0001,0.7760447719729598,0.7772417959051613,40,40,40
256,0.1,1,4,0.0001,0.7759742403881006,0.7763897269165893,20,25,40
128,0.5,1,4,0.0001,0.7759645653028064,0.7760956453899739,40,40,40
128,0.5,2,4,0.001,0.7759284290945322,0.7735112152930449,19,20,20
256,0.5,2,4,0.001,0.7758140723748146,0.7734871253673329,13,18,20
128,0.3,3,8,0.0001,0.7757881571700888,0.7750191557070621,32,37,40
128,0.5,3,8,0.001,0.775708402822829,0.7787412991432271,19,20,20
256,0.5,1,8,0.0001,0.7755206436334611,0.7763571975828361,30,35,40
256,0.5,3,16,0.0001,0.7754623117788476,0.7753992858338268,18,23,40
64,0.1,3,8,0.0001,0.7754106818797455,0.7749227878563835,29,34,40
