hidden_units,dropout_rate,num_blocks,num_heads,lr,gamma,val_ndcg,val_ndcg_raw,best_epoch,epochs_run,max_epochs
128,0.1,1,4,0.001,4,0.7762243614589739,0.7777846016354213,20,20,20
128,0.3,1,8,0.001,4,0.7759583353678542,0.7757524004040156,19,20,20
256,0.1,3,4,0.0001,2,0.7757995993558643,0.7735061446716395,35,40,40
64,0.1,1,8,0.001,4,0.7752968222365894,0.7743591269416232,18,20,20
128,0.1,3,8,0.001,4,0.7749586374069416,0.7769398694477124,18,20,20
256,0.5,3,16,0.001,3,0.7748696838018674,0.7751108925882834,19,20,20
256,0.1,2,4,0.001,4,0.7746056817552307,0.7746056817552307,1,6,20
128,0.3,1,16,0.001,3,0.7740910149196493,0.7737595779715918,17,20,20
128,0.3,2,16,0.001,2,0.7739929133107321,0.7730560901681754,17,20,20
256,0.1,3,16,0.001,3,0.7737446211384521,0.7779734704981696,20,20,20
128,0.3,3,8,0.001,3,0.7737322427784394,0.773974458561104,18,20,20
256,0.3,1,16,0.001,4,0.7736851664435762,0.7755043615506284,20,20,20
256,0.5,1,16,0.001,4,0.7736279582769034,0.7729648622068939,18,20,20
128,0.3,3,16,0.001,3,0.7733626730899065,0.7772252054994542,20,20,20
128,0.1,2,16,0.001,2,0.7733199796619209,0.7764671049893529,20,20,20
128,0.3,2,4,0.001,3,0.7733169465416948,0.7764551721760875,17,20,20
128,0.1,3,8,0.001,3,0.7732720985266944,0.7756591545302428,13,18,20
256,0.3,1,16,0.001,3,0.7731566420991337,0.7764241673607545,19,20,20
256,0.5,2,8,0.001,3,0.7731317289646035,0.7727898427442295,20,20,20
128,0.1,1,8,0.001,3,0.7731070574890778,0.7746794903417173,18,20,20
256,0.1,1,16,0.001,4,0.7730648298507262,0.7739338918212338,19,20,20
256,0.3,1,16,0.0001,3,0.773028999906487,0.7711631087970563,40,40,40
256,0.3,2,4,0.001,4,0.7728808131894032,0.7735888576979979,18,20,20
128,0.1,1,4,0.001,3,0.7728247180156053,0.777697558000055,20,20,20
128,0.1,1,8,0.001,4,0.7728171996270743,0.7781747940818254,20,20,20
64,0.3,3,4,0.0001,3,0.7726545591117997,0.7759317736155493,39,40,40
256,0.5,1,16,0.001,3,0.7726338178172966,0.7691761111393162,20,20,20
256,0.5,2,16,0.001,4,0.7725633280305709,0.7763956750673662,20,20,20
128,0.3,1,8,0.001,3,0.7724919803701379,0.7724421545073834,19,20,20
128,0.3,2,4,0.001,4,0.7724082085751377,0.7718171216333571,17,20,20
