hidden_units,dropout_rate,num_blocks,num_heads,lr,val_ndcg,val_ndcg_raw,best_epoch,epochs_run,max_epochs
64,0.1,1,4,0.001,0.7824361575797854,0.7826886652337373,18,20,20
64,0.1,2,4,0.001,0.7818759521097937,0.7797993010554625,19,20,20
256,0.3,1,8,0.001,0.7817162444015152,0.7823516901188828,18,20,20
128,0.1,1,4,0.001,0.7816752539629946,0.7797444304779825,17,20,20
128,0.1,1,16,0.001,0.7814577343559904,0.7814822119351161,20,20,20
128,0.1,3,4,0.001,0.7807589682533634,0.7807273871671764,17,20,20
256,0.1,1,4,0.001,0.7807150196944047,0.7812875144378213,20,20,20
256,0.3,1,4,0.001,0.7805610471098158,0.78224579378117,20,20,20
256,0.1,1,8,0.001,0.7805358342673884,0.7803731130924473,20,20,20
256,0.3,2,4,0.001,0.7802548430787151,0.7820625798671402,17,20,20
128,0.1,2,8,0.001,0.7798937789821476,0.7813038224548183,20,20,20
128,0.3,3,8,0.001,0.7797356830023231,0.7810826088983969,20,20,20
128,0.1,1,8,0.001,0.7796642871736711,0.7783912932818037,14,19,20
64,0.1,2,8,0.001,0.7795546294657255,0.78099690165061,19,20,20
128,0.3,1,8,0.001,0.7794236456848571,0.7802497273347114,17,20,20
256,0.3,2,8,0.0001,0.7793769743978679,0.7808988286655568,35,40,40
64,0.1,3,16,0.001,0.779332604115602,0.7810838614842681,20,20,20
256,0.1,1,16,0.001,0.779290496165511,0.7794697333468507,17,20,20
128,0.1,3,8,0.001,0.7792306860366529,0.7807466661158399,17,20,20
128,0.3,1,4,0.001,0.7791865178528704,0.7793061989967222,15,20,20
256,0.1,2,4,0.001,0.7791839262333652,0.7790174697858514,16,20,20
256,0.3,1,4,0.0001,0.7790833686846662,0.7797497311479558,36,40,40
256,0.1,3,4,0.001,0.7790628837553819,0.7806424538348646,20,20,20
256,0.5,1,8,0.001,0.778971515889563,0.779874989997966,20,20,20
256,0.1,2,8,0.001,0.7788510667500584,0.7794363555752661,19,20,20
256,0.3,1,16,0.001,0.7787523794138081,0.77791222306619,16,20,20
128,0.1,2,4,0.001,0.7786092623787982,0.7792495539530407,15,20,20
128,0.3,2,8,0.001,0.7785224380554179,0.7792147133313859,13,18,20
64,0.1,3,4,0.001,0.7784739361834262,0.7817559980577533,20,20,20
256,0.1,2,4,0.0001,0.778393884102262,0.7807346006628364,27,32,40
256,0.1,3,16,0.0001,0.7783710537479694,0.7774494749131473,27,32,40
256,0.5,1,4,0.001,0.7783582526757896,0.7793594500368995,20,20,20
128,0.3,2,4,0.001,0.7781575859658235,0.7787246125700192,17,20,20
64,0.1,2,16,0.001,0.7781549642200648,0.7798848441748262,18,20,20
64,0.3,1,8,0.001,0.7781505224534824,0.7783485346502768,20,20,20
64,0.1,1,8,0.001,0.7780181487702956,0.7774361685771078,18,20,20
256,0.3,2,8,0.001,0.7779454929075968,0.7791562887810358,19,20,20
128,0.5,1,8,0.001,0.7778743435524514,0.7794099417636903,20,20,20
256,0.1,3,8,0.0001,0.7778388327210868,0.7768897107674133,34,39,40
256,0.1,2,8,0.0001,0.7777708887225926,0.7762469924479736,27,32,40
128,0.3,3,16,0.001,0.7777351955142927,0.7793501644714984,19,20,20
256,0.3,3,4,0.001,0.7776564478786062,0.779015274322443,20,20,20
128,0.1,2,16,0.001,0.7775861862106569,0.7790681591041516,20,20,20
256,0.3,3,8,0.0001,0.7775299888895292,0.7786015049982417,23,28,40
128,0.1,3,16,0.001,0.7775043842222673,0.7779000830936709,19,20,20
128,0.3,1,16,0.001,0.7774810837509447,0.7780718128689988,20,20,20
256,0.3,3,16,0.0001,0.7774787763234565,0.7781575875716703,29,34,40
256,0.1,3,4,0.0001,0.7774159427487269,0.778510845101654,17,22,40
128,0.1,3,8,0.0001,0.7774073924603685,0.7769466697736728,32,37,40
256,0.1,2,16,0.0001,0.7772745854173971,0.7778966855455148,28,33,40
128,0.3,3,4,0.001,0.7772436617864221,0.7751118936773547,18,20,20
128,0.3,2,16,0.001,0.7770858050646542,0.7773017039206963,20,20,20
64,0.3,1,16,0.001,0.7770304136965565,0.7764675242030693,20,20,20
256,0.3,2,16,0.0001,0.7770137289516169,0.7765065022362745,27,32,40
256,0.1,1,16,0.0001,0.777013356270405,0.776780567867067,32,37,40
128,0.5,1,4,0.001,0.7769618381534887,0.7755290420293836,15,20,20
256,0.3,3,4,0.0001,0.7769273313698504,0.7780792172749392,16,21,40
256,0.3,2,4,0.0001,0.7768593250880325,0.7760504437293876,28,33,40
64,0.3,1,4,0.001,0.7768310451033037,0.7750697386876091,17,20,20
256,0.3,3,8,0.001,0.7768107243479969,0.7762460297884591,20,20,20
256,0.3,2,16,0.001,0.7767885084208875,0.7785555801998852,20,20,20
256,0.5,3,8,0.001,0.7767642228320947,0.774028378214522,19,20,20
64,0.1,3,8,0.001,0.776753573700992,0.7765669202967931,13,18,20
64,0.1,1,16,0.001,0.7766710513555655,0.7742392455950113,17,20,20
256,0.3,1,8,0.0001,0.7765748257888161,0.7767800169952002,40,40,40
256,0.1,2,16,0.001,0.7765508982673035,0.7773439986335511,18,20,20
256,0.5,1,16,0.001,0.7765213718787072,0.7758934301460984,18,20,20
256,0.5,2,8,0.001,0.7763907573255704,0.7756585076808993,20,20,20
256,0.1,3,8,0.001,0.7763388810621418,0.7772377882851715,20,20,20
256,0.5,3,4,0.0001,0.7762694787013517,0.7756757904432502,30,35,40
64,0.3,3,4,0.001,0.7762582845246526,0.7787775858773721,19,20,20
128,0.1,3,4,0.0001,0.7762478378361082,0.7765861668028888,27,32,40
64,0.5,1,4,0.001,0.7762355701086713,0.776998919699669,16,20,20
256,0.1,1,4,0.0001,0.7762172238323598,0.7746121040959483,22,27,40
128,0.1,2,4,0.0001,0.7761035542493991,0.776148203861836,36,40,40
128,0.5,1,16,0.001,0.7760687808111957,0.7773887665504237,20,20,20
256,0.5,2,8,0.0001,0.7760557910920894,0.7775021452739286,32,37,40
256,0.5,1,8,0.0001,0.7760257965841268,0.7768577657154291,34,39,40
256,0.3,3,16,0.001,0.775579413018599,0.7738665339987776,17,20,20
256,0.5,1,4,0.0001,0.7753575800957663,0.775420744135698,35,40,40
64,0.3,2,8,0.001,0.7753166474898912,0.7735261918563603,16,20,20
64,0.3,2,4,0.001,0.7752697617772096,0.7781422667394957,20,20,20
128,0.3,2,8,0.0001,0.775173181434183,0.7752540496491501,39,40,40
256,0.5,2,16,0.0001,0.7750391711943477,0.7753435986833671,35,40,40
128,0.5,2,16,0.001,0.7750203525477724,0.7758321556788461,18,20,20
256,0.5,2,16,0.001,0.7750007148074993,0.7768789422125124,20,20,20
128,0.3,3,8,0.0001,0.7748911086432851,0.7755845235176008,32,37,40
128,0.3,3,4,0.0001,0.77487561710225,0.7748581817704274,23,28,40
64,0.5,1,8,0.001,0.7747806910304923,0.7757486153389934,20,20,20
64,0.1,3,4,0.0001,0.7747096414340208,0.7748069144215011,39,40,40
128,0.5,3,4,0.001,0.7745490058779511,0.7753638440366725,17,20,20
64,0.3,3,8,0.001,0.7744658642858012,0.7768844578296735,20,20,20
128,0.3,2,4,0.0001,0.7742877202981736,0.775087188302682,30,35,40
128,0.1,1,4,0.0001,0.7741071451743501,0.7731509640916602,24,29,40
256,0.3,1,16,0.0001,0.7739739879902362,0.7744566270371065,28,33,40
64,0.5,1,16,0.001,0.773960362778523,0.7730941830439981,19,20,20
64,0.3,3,16,0.001,0.7739455617756336,0.7748416138612999,14,19,20
256,0.5,3,4,0.001,0.773939717397778,0.7761503259325488,10,15,20
64,0.3,2,16,0.001,0.7739032206737352,0.775641627884332,19,20,20
128,0.1,3,16,0.0001,0.7735733102626184,0.7731703449812157,20,25,40
256,0.1,1,8,0.0001,0.773486696784472,0.7722832134592973,13,18,40
64,0.1,3,8,0.0001,0.7734686768037151,0.773658652645654,40,40,40
128,0.3,1,4,0.0001,0.7734362408441795,0.7731785969327422,24,29,40
128,0.5,3,16,0.001,0.7733752498455101,0.7721591644021158,19,20,20
128,0.3,1,8,0.0001,0.7733319858322796,0.7741086467778285,38,40,40
256,0.5,3,16,0.001,0.7732876173646468,0.7752450463344599,17,20,20
128,0.5,3,8,0.001,0.7732795015172874,0.7739621142012634,20,20,20
128,0.5,2,4,0.001,0.7732651927086137,0.7751533619190579,20,20,20
64,0.5,3,8,0.001,0.773200811511277,0.7751420672413062,20,20,20
128,0.5,3,4,0.0001,0.7731583896775267,0.7738894462109357,40,40,40
64,0.3,3,4,0.0001,0.7731569910828059,0.7725441439020976,40,40,40
256,0.1,3,16,0.001,0.7731360858858928,0.7725158211594152,20,20,20
256,0.5,2,4,0.001,0.7730379827132833,0.7725231162873745,11,16,20
256,0.5,3,8,0.0001,0.772993657182579,0.7728821971380145,15,20,40
128,0.1,2,8,0.0001,0.7728293188204605,0.7725340478007903,16,21,40
128,0.1,2,16,0.0001,0.7725295896079399,0.7721736103511645,18,23,40
64,0.1,2,8,0.0001,0.7724215126532189,0.7721563451357502,33,38,40
64,0.1,2,16,0.0001,0.7723184953188719,0.773296072259146,40,40,40
128,0.3,2,16,0.0001,0.772243294185439,0.772223958816828,29,34,40
64,0.3,1,4,0.0001,0.7720726545460828,0.7726859019478007,40,40,40
256,0.5,1,16,0.0001,0.7720320683533552,0.7725419156939488,22,27,40
64,0.5,3,4,0.001,0.7719027827650388,0.7726164869355007,18,20,20
128,0.5,3,8,0.0001,0.7718515303211175,0.7715240185437445,40,40,40
128,0.5,1,8,0.0001,0.7717889321414502,0.7716907116012648,32,37,40
128,0.5,1,4,0.0001,0.7717647672398654,0.7720732316639967,40,40,40
256,0.5,3,16,0.0001,0.7716867294739919,0.7703897195975523,15,20,40
128,0.5,2,4,0.0001,0.7714823831439359,0.7717218319966248,40,40,40
128,0.5,2,8,0.0001,0.7714582544557788,0.7721120969569377,39,40,40
128,0.1,1,16,0.0001,0.7713259882137921,0.7711065315134427,16,21,40
64,0.1,3,16,0.0001,0.7712758626529311,0.7713275014097739,29,34,40
64,0.3,2,8,0.0001,0.7710971544034829,0.7709230117947558,35,40,40
64,0.1,1,8,0.0001,0.7709387868617527,0.7709601622383278,35,40,40
64,0.3,2,4,0.0001,0.7706353572644439,0.7709637446331709,39,40,40
128,0.5,2,8,0.001,0.7706014056967848,0.7692911326597908,10,15,20
64,0.5,3,16,0.001,0.7704718577000417,0.7711558390306678,19,20,20
128,0.3,3,16,0.0001,0.7704185795268043,0.7701835083510165,14,19,40
128,0.3,1,16,0.0001,0.770413789099489,0.7703969354186293,25,30,40
64,0.1,2,4,0.0001,0.7702551017928633,0.7708387562335417,23,28,40
128,0.1,1,8,0.0001,0.7700599941133185,0.7714618818852826,12,17,40
256,0.5,2,4,0.0001,0.7698321182911244,0.7701983010915746,15,20,40
64,0.3,1,8,0.0001,0.7698193696340002,0.7695417518864189,29,34,40
64,0.5,2,4,0.001,0.7697395539922796,0.7695054012142889,12,17,20
64,0.3,2,16,0.0001,0.7694490743649322,0.7698901323792482,34,39,40
64,0.3,3,8,0.0001,0.7694198329618018,0.7706424542736898,40,40,40
128,0.5,2,16,0.0001,0.7693079711168157,0.7706130020832908,40,40,40
64,0.1,1,4,0.0001,0.7692080557226518,0.7695266206382467,17,22,40
64,0.1,1,16,0.0001,0.7691972633742162,0.7684649721919894,38,40,40
64,0.5,1,8,0.0001,0.7690390453670908,0.7687754811456619,40,40,40
64,0.3,1,16,0.0001,0.7687428691128458,0.7692511299330087,40,40,40
128,0.5,3,16,0.0001,0.7685465723130459,0.7692854665531808,27,32,40
128,0.5,1,16,0.0001,0.7682800030636873,0.76929783507343,26,31,40
64,0.5,3,4,0.0001,0.7679470396470869,0.7678212154858716,40,40,40
64,0.5,2,8,0.001,0.7678454458321992,0.7685407737594612,11,16,20
64,0.5,2,16,0.001,0.7672772472338786,0.7672947735719683,20,20,20
64,0.5,1,4,0.0001,0.7672406489176541,0.7673666770154797,37,40,40
64,0.5,3,8,0.0001,0.7668914083099918,0.7667382647794813,40,40,40
64,0.5,1,16,0.0001,0.766454580863683,0.7673039107293039,40,40,40
64,0.5,2,8,0.0001,0.7659619930698994,0.7664309596443108,40,40,40
64,0.5,3,16,0.0001,0.7649923778665695,0.766183630495586,40,40,40
64,0.3,3,16,0.0001,0.7649791105657183,0.7654329727351343,22,27,40
64,0.5,2,16,0.0001,0.7634971698744258,0.7637065351967016,36,40,40
64,0.5,2,4,0.0001,0.7632471615360966,0.7634512470017405,39,40,40
