Using device: cuda
Loaded best params: {'hidden_units': 256.0, 'dropout_rate': 0.1, 'num_blocks': 1.0, 'num_heads': 16.0, 'lr': 0.001, 'val_ndcg': 0.7833886533, 'val_ndcg_raw': 0.7827366125, 'best_epoch': 20.0, 'epochs_run': 20.0, 'max_epochs': 20.0}
Loading datasets...
Train sessions: 75875 | Val sessions: 16262

=== Run 1/5 (seed 0) ===

Epoch 1 | Loss: 0.5858 | NDCG: 0.7653 | smoothed: 0.7653 | AUC: 0.6072
Epoch 2 | Loss: 0.5758 | NDCG: 0.7664 | smoothed: 0.7659 | AUC: 0.6112
Epoch 3 | Loss: 0.5737 | NDCG: 0.7711 | smoothed: 0.7676 | AUC: 0.6154
Epoch 4 | Loss: 0.5714 | NDCG: 0.7733 | smoothed: 0.7703 | AUC: 0.6199
Epoch 5 | Loss: 0.5696 | NDCG: 0.7705 | smoothed: 0.7716 | AUC: 0.6163
Epoch 6 | Loss: 0.5677 | NDCG: 0.7744 | smoothed: 0.7727 | AUC: 0.6205
Epoch 7 | Loss: 0.5677 | NDCG: 0.7761 | smoothed: 0.7737 | AUC: 0.6223
Epoch 8 | Loss: 0.5676 | NDCG: 0.7713 | smoothed: 0.7740 | AUC: 0.6154
Epoch 9 | Loss: 0.5651 | NDCG: 0.7762 | smoothed: 0.7746 | AUC: 0.6216
Epoch 10 | Loss: 0.5664 | NDCG: 0.7733 | smoothed: 0.7736 | AUC: 0.6168
Epoch 11 | Loss: 0.5658 | NDCG: 0.7756 | smoothed: 0.7751 | AUC: 0.6207
Epoch 12 | Loss: 0.5647 | NDCG: 0.7786 | smoothed: 0.7759 | AUC: 0.6259
Epoch 13 | Loss: 0.5643 | NDCG: 0.7784 | smoothed: 0.7776 | AUC: 0.6259
Epoch 14 | Loss: 0.5637 | NDCG: 0.7802 | smoothed: 0.7791 | AUC: 0.6245
Epoch 15 | Loss: 0.5638 | NDCG: 0.7794 | smoothed: 0.7794 | AUC: 0.6258
Epoch 16 | Loss: 0.5614 | NDCG: 0.7785 | smoothed: 0.7794 | AUC: 0.6258
Epoch 17 | Loss: 0.5626 | NDCG: 0.7821 | smoothed: 0.7800 | AUC: 0.6302
Epoch 18 | Loss: 0.5611 | NDCG: 0.7820 | smoothed: 0.7809 | AUC: 0.6303
Epoch 19 | Loss: 0.5615 | NDCG: 0.7815 | smoothed: 0.7819 | AUC: 0.6272
Epoch 20 | Loss: 0.5616 | NDCG: 0.7777 | smoothed: 0.7804 | AUC: 0.6229
Epoch 21 | Loss: 0.5613 | NDCG: 0.7846 | smoothed: 0.7813 | AUC: 0.6336
Epoch 22 | Loss: 0.5607 | NDCG: 0.7839 | smoothed: 0.7821 | AUC: 0.6321
Epoch 23 | Loss: 0.5595 | NDCG: 0.7820 | smoothed: 0.7835 | AUC: 0.6284
