Using device: cuda
Loaded best params: {'hidden_units': 64.0, 'dropout_rate': 0.1, 'num_blocks': 1.0, 'num_heads': 4.0, 'lr': 0.001, 'val_ndcg': 0.7824361576, 'val_ndcg_raw': 0.7826886652, 'best_epoch': 18.0, 'epochs_run': 20.0, 'max_epochs': 20.0}
Loading datasets...
Train sessions: 75875 | Val sessions: 16262

=== Run 1/5 (seed 0) ===

Epoch 1 | Loss: 0.6211 | NDCG: 0.7601 | smoothed: 0.7601 | AUC: 0.5959
Epoch 2 | Loss: 0.6082 | NDCG: 0.7682 | smoothed: 0.7641 | AUC: 0.6140
Epoch 3 | Loss: 0.6057 | NDCG: 0.7683 | smoothed: 0.7655 | AUC: 0.6124
Epoch 4 | Loss: 0.6036 | NDCG: 0.7731 | smoothed: 0.7699 | AUC: 0.6195
Epoch 5 | Loss: 0.6025 | NDCG: 0.7669 | smoothed: 0.7694 | AUC: 0.6087
Epoch 6 | Loss: 0.6019 | NDCG: 0.7721 | smoothed: 0.7707 | AUC: 0.6162
Epoch 7 | Loss: 0.6006 | NDCG: 0.7709 | smoothed: 0.7700 | AUC: 0.6137
Epoch 8 | Loss: 0.6001 | NDCG: 0.7734 | smoothed: 0.7721 | AUC: 0.6211
Epoch 9 | Loss: 0.5991 | NDCG: 0.7710 | smoothed: 0.7718 | AUC: 0.6149
Epoch 10 | Loss: 0.5986 | NDCG: 0.7726 | smoothed: 0.7723 | AUC: 0.6196
Epoch 11 | Loss: 0.5967 | NDCG: 0.7760 | smoothed: 0.7732 | AUC: 0.6204
Epoch 12 | Loss: 0.5975 | NDCG: 0.7750 | smoothed: 0.7745 | AUC: 0.6200
Epoch 13 | Loss: 0.5959 | NDCG: 0.7760 | smoothed: 0.7757 | AUC: 0.6217
Epoch 14 | Loss: 0.5977 | NDCG: 0.7771 | smoothed: 0.7761 | AUC: 0.6233
Epoch 15 | Loss: 0.5965 | NDCG: 0.7719 | smoothed: 0.7750 | AUC: 0.6135
Epoch 16 | Loss: 0.5951 | NDCG: 0.7774 | smoothed: 0.7755 | AUC: 0.6245
Epoch 17 | Loss: 0.5952 | NDCG: 0.7794 | smoothed: 0.7762 | AUC: 0.6280
Epoch 18 | Loss: 0.5939 | NDCG: 0.7795 | smoothed: 0.7788 | AUC: 0.6262
Epoch 19 | Loss: 0.5931 | NDCG: 0.7799 | smoothed: 0.7796 | AUC: 0.6261
Epoch 20 | Loss: 0.5926 | NDCG: 0.7799 | smoothed: 0.7798 | AUC: 0.6271
Epoch 21 | Loss: 0.5911 | NDCG: 0.7798 | smoothed: 0.7799 | AUC: 0.6273
Epoch 22 | Loss: 0.5920 | NDCG: 0.7811 | smoothed: 0.7802 | AUC: 0.6282
Epoch 23 | Loss: 0.5917 | NDCG: 0.7780 | smoothed: 0.7796 | AUC: 0.6240
Epoch 24 | Loss: 0.5901 | NDCG: 0.7791 | smoothed: 0.7794 | AUC: 0.6252
Epoch 25 | Loss: 0.5907 | NDCG: 0.7825 | smoothed: 0.7798 | AUC: 0.6304
Epoch 26 | Loss: 0.5910 | NDCG: 0.7826 | smoothed: 0.7814 | AUC: 0.6305
Epoch 27 | Loss: 0.5897 | NDCG: 0.7819 | smoothed: 0.7823 | AUC: 0.6298
Epoch 28 | Loss: 0.5906 | NDCG: 0.7796 | smoothed: 0.7814 | AUC: 0.6268
Epoch 29 | Loss: 0.5909 | NDCG: 0.7824 | smoothed: 0.7813 | AUC: 0.6307
Epoch 30 | Loss: 0.5896 | NDCG: 0.7809 | smoothed: 0.7810 | AUC: 0.6266
Epoch 31 | Loss: 0.5885 | NDCG: 0.7856 | smoothed: 0.7829 | AUC: 0.6337
Epoch 32 | Loss: 0.5892 | NDCG: 0.7812 | smoothed: 0.7825 | AUC: 0.6290
Epoch 33 | Loss: 0.5893 | NDCG: 0.7801 | smoothed: 0.7823 | AUC: 0.6257
Epoch 34 | Loss: 0.5888 | NDCG: 0.7864 | smoothed: 0.7826 | AUC: 0.6391
Epoch 35 | Loss: 0.5882 | NDCG: 0.7832 | smoothed: 0.7832 | AUC: 0.6308
Epoch 36 | Loss: 0.5891 | NDCG: 0.7841 | smoothed: 0.7846 | AUC: 0.6316
